,contract_date,latitude,longitude,altitude,1st_region,2nd_region,road_id,apartment_id,floor,angle,area,car#_parkinglot,area_parkinglot,external_vehical,management_fee,households#,age,builder_id,construction_date,built_year,school#,bus_station#,subway_station#,price
area,0.006528597862587111,-0.08690632136218902,0.07349576776635366,0.004273422126392037,0.1569161388711485,0.14793158388432992,0.14782438103932322,0.1533270334746113,0.11937678433927663,0.000541122340119013,1.0,0.6893524811705198,0.6481430793980705,0.055841034923301114,0.6458066197912087,0.08300196065474616,0.020630865938121364,0.39684367532527065,0.1476311340242107,0.14764158305458128,-0.07508336741369956,0.015549282046049714,0.013117717844488749,0.7508588776955719
car#_parkinglot,0.009399321640499097,-0.07373546193787321,0.1289610141904669,0.0613442141090994,0.1338167598223848,0.1275413227915165,0.11686957338555329,0.13012986430718745,0.10210378871439105,-0.0007411107902213583,0.6893524811705198,1.0,0.9449549384212903,0.024963952787188482,0.9588877921899893,0.11020540574818397,0.02546246105607884,0.35784530145906773,0.15453314749292663,0.1545443040764073,-0.10097337993448248,-0.03841518654441809,0.029678303291919603,0.6061264336828153
area_parkinglot,0.01097608216533674,-0.057111951886104045,0.12644787266344046,0.05134061026483668,0.11590025303905054,0.1104925635794648,0.09096288985656238,0.11230694522107305,0.09436755901338942,0.00018024469423211941,0.6481430793980705,0.9449549384212903,1.0,0.0004890318758558126,0.9055853163329962,0.10422256109589763,0.011870956460152264,0.28026702094297806,0.1640118618408139,0.1640235391156381,-0.08236013798764033,-0.0133566376262961,-0.0004780390085552625,0.5734889480086351
external_vehical,0.007485774264890365,-0.003273623373007512,-0.02657773382505974,-0.03168212051638303,-0.00013315503291641353,-0.008609024392131933,0.0008221247415771236,-0.007970391870398564,0.02444674596008042,0.002482641535121689,0.055841034923301114,0.024963952787188482,0.0004890318758558126,1.0,0.03611412607039469,-0.04245290475627324,-0.03724377886112488,-0.04627572312475923,0.021135825080719216,0.021137341628545483,0.030648246562648182,0.05046563646857504,0.15204796289597894,0.01721373772479807
management_fee,0.014055016852062894,-0.06577687627494584,0.12003868116901749,0.07083248861577858,0.12267385278570862,0.11793200049207676,0.10591502028878412,0.11937722834544683,0.0862746253073699,-0.00047981992181786833,0.6458066197912087,0.9588877921899893,0.9055853163329962,0.03611412607039469,1.0,0.1187519436532468,0.009536083046067251,0.27452926533784705,0.15420173622654623,0.1542115252664548,-0.09279706506736883,-0.02993949672853159,0.0361573409011953,0.5802416988110699
households#,-0.0018825217360468622,-0.025075209058172704,-0.0063047648822218355,0.1162521285018021,0.02706262046851559,0.009864947130261524,0.033557769620446,0.009140477945899483,-0.032158317059657965,0.00198168576014044,0.08300196065474616,0.11020540574818397,0.10422256109589763,-0.04245290475627324,0.1187519436532468,1.0,0.03763109213171771,0.06949907664695416,0.01152087598528878,0.011528439003607312,-0.18630370231485596,-0.033953233569502264,-0.05890574038136131,0.03406265350328646
age,0.002531635067661734,0.025969365848162045,-0.03240158085433654,0.017930111311990547,0.06302640297894743,0.055942130923304766,0.05484699211366613,0.056162452219694486,0.012116644381379469,-0.0011501410775828736,0.020630865938121364,0.02546246105607884,0.011870956460152264,-0.03724377886112488,0.009536083046067251,0.03763109213171771,1.0,-0.043540290183467986,0.013408330817676591,0.013423624382381772,-0.02697068877011368,-0.001314002449150199,-0.01735146435407489,-0.0037476998118559303
builder_id,-0.029085531616053904,-0.06017720071570802,0.1353474407309345,-0.01162831185414748,0.09767078230651001,0.12070604843836971,0.08170261715184536,0.12835348326707247,0.06145622667235533,-0.0020912951263507657,0.39684367532527065,0.35784530145906773,0.28026702094297806,-0.04627572312475923,0.27452926533784705,0.06949907664695416,-0.043540290183467986,1.0,0.1401532539530199,0.1401555772710331,-0.06193350346518041,0.04958697977103717,0.026957555473422788,0.2408113025402953
construction_date,0.17007673574139606,-0.21201139242851996,0.03647839616634638,-0.030607182327473465,0.11694405790991445,0.0759472942277946,0.07510009395812162,0.08330588396650666,0.261917914224302,-0.0017751418956328988,0.1476311340242107,0.15453314749292663,0.1640118618408139,0.021135825080719216,0.15420173622654623,0.01152087598528878,0.013408330817676591,0.1401532539530199,1.0,0.9999999945571353,0.05234842656570543,0.13951586306877928,0.06768670905165,0.4112942667625553
built_year,0.1700769020765062,-0.2120216115175332,0.03647635040157857,-0.030601509840072504,0.11695922394292793,0.07596201416057978,0.07511389319095049,0.08331958842115159,0.2619179657340559,-0.0017751606536356703,0.14764158305458128,0.1545443040764073,0.1640235391156381,0.021137341628545483,0.1542115252664548,0.011528439003607312,0.013423624382381772,0.1401555772710331,0.9999999945571353,1.0,0.05234532724605653,0.13952026388008357,0.06767510011491042,0.4113002067222255
school#,-0.011901023705561274,0.007829620187257894,0.041506515138406544,-0.04819815918429278,-0.016067570844507863,0.00949323121432593,0.017101280122586784,0.018985909801187927,0.03825424362921042,0.0010363521669816123,-0.07508336741369956,-0.10097337993448248,-0.08236013798764033,0.030648246562648182,-0.09279706506736883,-0.18630370231485596,-0.02697068877011368,-0.06193350346518041,0.05234842656570543,0.05234532724605653,1.0,0.039740151345196525,0.12346514368875536,-0.08273955535075206
bus_station#,0.021664434888926252,-0.0059923989239623445,0.02965487885102824,-0.015422640714097073,-0.14309748182386495,-0.1653159114324638,-0.1543914065842704,-0.15946157959354887,0.06159741822734477,0.0022277251708909232,0.015549282046049714,-0.03841518654441809,-0.0133566376262961,0.05046563646857504,-0.02993949672853159,-0.033953233569502264,-0.001314002449150199,0.04958697977103717,0.13951586306877928,0.13952026388008357,0.039740151345196525,1.0,0.05986087540156781,0.024560521925440684
subway_station#,0.01592299374237,-0.010601958890519082,-0.0032508320903549557,0.06359421956999689,-0.07426011378175716,-0.05602233552173337,-0.06613763909358973,-0.05048063471497326,0.044275928548132254,0.00106184847421623,0.013117717844488749,0.029678303291919603,-0.0004780390085552625,0.15204796289597894,0.0361573409011953,-0.05890574038136131,-0.01735146435407489,0.026957555473422788,0.06768670905165,0.06767510011491042,0.12346514368875536,0.05986087540156781,1.0,0.036827813444948745
price,0.2852702971099728,-0.21110046944132108,0.11516294492942654,-0.019366228452800404,0.19721791751556514,0.17424711255409925,0.17179059289936405,0.18594180495517496,0.22688139284050232,0.0004690430473493792,0.7508588776955719,0.6061264336828153,0.5734889480086351,0.01721373772479807,0.5802416988110699,0.03406265350328646,-0.0037476998118559303,0.2408113025402953,0.4112942667625553,0.4113002067222255,-0.08273955535075206,0.024560521925440684,0.036827813444948745,1.0
